Date,Arriving by date,Type,Confirmation code,Booking date,Start date,End date,Nights,Guest,Listing,Details,Reference code,Currency,Amount,Paid out,Service fee,Fast pay fee,Cleaning fee,Pet fee,Gross earnings,Occupancy taxes,Earnings year
11/23/2025,11/27/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",253153722023713,USD,,537.38,,,,,,,
11/23/2025,,Reservation,HMQTL3Q4N8,10/17/2025,11/19/2025,11/22/2025,3,Jonas Xiang,Juniper Bend Hideaway,,,USD,537.38,,16.62,,50.00,0.00,554.00,83.54,2025
11/10/2025,11/14/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",607302066593674,USD,,631.47,,,,,,,
11/10/2025,,Reservation,HMGYW6ZBNZ,10/03/2025,11/05/2025,11/09/2025,4,Ember Dvorak,Juniper Bend Hideaway,,,USD,631.47,,19.53,,50.00,25.00,651.00,98.17,2025
11/02/2025,11/06/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",021889255865377,USD,,490.82,,,,,,,
11/02/2025,,Reservation,HMEC4D145B,10/03/2025,10/29/2025,11/01/2025,3,Jonas Castellanos,Juniper Bend Hideaway,,,USD,490.82,,15.18,,50.00,0.00,506.00,76.30,2025
10/25/2025,10/29/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",989296529625618,USD,,401.58,,,,,,,
10/25/2025,,Reservation,HM896DYSAL,10/04/2025,10/22/2025,10/24/2025,2,Quentin Castellanos,Juniper Bend Hideaway,,,USD,401.58,,12.42,,50.00,0.00,414.00,62.43,2025
10/18/2025,10/22/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",809604346708639,USD,,470.45,,,,,,,
10/18/2025,,Reservation,HMFM8ZOV7L,09/15/2025,10/14/2025,10/17/2025,3,Imani Boulanger,Juniper Bend Hideaway,,,USD,470.45,,14.55,,50.00,0.00,485.00,73.14,2025
10/11/2025,10/15/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",919526237094262,USD,,598.49,,,,,,,
10/11/2025,,Reservation,HMV2XCDYK0,08/25/2025,10/07/2025,10/10/2025,3,Leandro Ellingson,Juniper Bend Hideaway,,,USD,598.49,,18.51,,50.00,0.00,617.00,93.04,2025
10/02/2025,10/06/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",069960540752564,USD,,360.84,,,,,,,
10/02/2025,,Reservation,HMDXBZ9SVN,09/06/2025,09/29/2025,10/01/2025,2,Rosa Fairweather,Juniper Bend Hideaway,,,USD,360.84,,11.16,,50.00,0.00,372.00,56.10,2025
09/24/2025,09/28/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",899580800160124,USD,,868.15,,,,,,,
09/24/2025,,Reservation,HM80B6UGVS,09/10/2025,09/18/2025,09/23/2025,5,Ember Xiang,Juniper Bend Hideaway,,,USD,868.15,,26.85,,50.00,0.00,895.00,134.97,2025
09/16/2025,09/20/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",525937477473151,USD,,378.30,,,,,,,
09/16/2025,,Reservation,HMKJCSLQC3,09/04/2025,09/13/2025,09/15/2025,2,Katya Ellingson,Juniper Bend Hideaway,,,USD,378.30,,11.70,,50.00,0.00,390.00,58.81,2025
09/08/2025,09/12/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",773230870557212,USD,,868.15,,,,,,,
09/08/2025,,Reservation,HM1Q7UWW5W,08/19/2025,09/02/2025,09/07/2025,5,Otis Xiang,Juniper Bend Hideaway,,,USD,868.15,,26.85,,50.00,0.00,895.00,134.97,2025
09/01/2025,09/05/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",796732324633848,USD,,679.97,,,,,,,
09/01/2025,,Reservation,HMM8XFDJGF,08/19/2025,08/28/2025,08/31/2025,3,Nadia Holloway,Juniper Bend Hideaway,,,USD,679.97,,21.03,,50.00,0.00,701.00,105.71,2025
